"","continent","location","date","total_vaccinations","population_density","human_development_index","gdp_per_capita","total_cases","total_deaths","life_expectancy","aged_65_older","gdp","popdens","hdi","vaccine","cases","deaths","lifeexp","aged65older"
"94","Africa","Kenya","2021-05-19",945597,87.324,0.601,2993.028,166382,3035,-0.163976641342245,-0.781720399766664,-0.733263950766918,-0.162613010567268,-0.319786171883149,-0.131333277843644,-0.204073106049212,-0.233485987748864,-0.535751914156085,-0.83580354282017
"95","Europe","Kosovo","2021-05-19",0,168.155,0,9795.834,106657,2240,-4.00577313104757,-1.20000846171239,-0.401204736591745,-0.124551503311802,-2.9183872973783,-0.155065414483776,-0.222361248884072,-0.24653407471316,-6.86992488130447,-1.25730748526755
"96","Asia","Kuwait","2021-05-19",0,232.128,0.806,65530.537,294693,1703,0.342311081963748,-0.834823984697228,2.31932289281098,-0.0944280506308514,0.566591915848141,-0.155065414483776,-0.164783530573554,-0.255347688172061,0.298991419895403,-0.8893153985069
"97","Asia","Kyrgyzstan","2021-05-19",0,32.333,0.697,3393.474,101219,1725,0.109614562947115,-0.500941034283361,-0.713717342487983,-0.188507040648367,0.0952982009080891,-0.155065414483776,-0.224026396154662,-0.254986609035942,-0.0846676323876472,-0.552865490611447
"98","Asia","Laos","2021-05-19",0,29.715,0.613,6397.36,1737,2,-0.0937069004510831,-0.572576368793799,-0.567091373052458,-0.189739798204191,-0.267900625284244,-0.155065414483776,-0.254488363931933,-0.283265670469252,-0.41989447757556,-0.625051571596479
"99","Europe","Latvia","2021-05-19",552553,31.212,0.866,25063.846,129297,2298,0.33079145230946,1.87626196854671,0.344058918837663,-0.189034894437549,0.826019648842665,-0.141197706256154,-0.215428749030054,-0.245582138808846,0.279998397505154,1.84261391425053
"100","Asia","Lebanon","2021-05-19",631679,594.561,0.744,13367.565,537043,7651,0.540448712017517,0.125868142682969,-0.226861062951029,0.0762335304348322,0.2985165917538,-0.139211840137937,-0.0905745491415198,-0.157725019915924,0.625671405007704,0.0787627180075811
"101","Africa","Lesotho","2021-05-19",0,73.562,0.527,2851.153,10806,320,-0.876465735460008,-0.498293641486236,-0.740189166775004,-0.169093228093337,-0.639747042576395,-0.155065414483776,-0.251711383314614,-0.278046435683534,-1.71047034899305,-0.550197744140261
"102","Africa","Liberia","2021-05-19",0,49.127,0.48,752.788,2142,85,-0.313731826848,-0.723944945194115,-0.842614758942808,-0.180599122240228,-0.842965433422106,-0.155065414483776,-0.254364350573237,-0.281903417364803,-0.782661205229336,-0.777583899243111
"103","Africa","Libya","2021-05-19",0,3.623,0.724,17881.509,182350,3097,0.193707859423423,-0.511063418507662,-0.00652599864510361,-0.202025936533664,0.212040680755625,-0.155065414483776,-0.199183611452527,-0.232468401092529,0.0539814310611774,-0.563065697707158
"104","Europe","Liechtenstein","2021-05-19",0,237.012,0.919,0,2993,58,0.745498119863857,-1.20000846171239,-0.87935991847264,-0.0921282844342722,1.05518081298783,-0.155065414483776,-0.254103769417063,-0.282346559940949,0.963747203554153,-1.25730748526755
"105","Europe","Lithuania","2021-05-19",1383714,45.135,0.882,29524.265,267769,4136,0.367654267203184,1.75915376952095,0.56178131574741,-0.18247886561794,0.895200377641205,-0.120337629054186,-0.173027816177334,-0.215415618254915,0.340776069153954,1.72460536446631
"106","Europe","Luxembourg","2021-05-19",0,231.447,0.916,94277.965,69398,808,0.731674564278711,1.02878481549062,3.72254508542347,-0.0947487182761975,1.0422094263381,-0.155065414483776,-0.23377017167828,-0.270037043936897,0.940955576685854,0.988621190945004
