"","continent","location","date","total_vaccinations","population_density","human_development_index","gdp_per_capita","total_cases","total_deaths","gdp","popdens","hdi","vaccine","cases","deaths"
"109","Africa","Malawi","2021-05-19",0,197.519,0.483,1095.042,34238,1153,-0.825908624108401,-0.110724653476349,-0.82999404677238,-0.155065414483776,-0.244536368448035,-0.264374666575033
"110","Asia","Malaysia","2021-05-19",2303580,96.254,0.81,26808.164,485496,2040,0.429202735132235,-0.158408073602597,0.583887098047776,-0.0972512766201026,-0.106358540748192,-0.24981661231424
"111","Asia","Maldives","2021-05-19",0,1454.433,0.74,15183.616,48608,112,-0.138215808630674,0.481127993781469,0.281221409554165,-0.155065414483776,-0.240136190758007,-0.281460274788658
"112","Africa","Mali","2021-05-19",0,15.196,0.434,2014.306,14221,512,-0.781037422216193,-0.196576470073178,-1.04186002871791,-0.155065414483776,-0.250665690425857,-0.274895199586496
"113","Europe","Malta","2021-05-19",0,1454.037,0.895,36513.323,30489,417,0.902931880279855,0.480941526252016,0.951409719790019,-0.155065414483776,-0.245684334081989,-0.27645440494701
"114","Oceania","Marshall Islands","2021-05-19",0,295.15,0.704,3819.202,4,0,-0.692936666817918,-0.0647524025471463,0.12556476975745,-0.155065414483776,-0.255019018624822,-0.283298495845263
"115","Africa","Mauritania","2021-05-19",0,4.289,0.546,3597.633,18957,457,-0.703751913941764,-0.201712332052312,-0.557594927128129,-0.155065414483776,-0.249215499643674,-0.275797897426793
"116","Africa","Mauritius","2021-05-19",0,622.962,0.804,20292.745,1288,17,0.111171482563516,0.0896069251418442,0.557944324748324,-0.155065414483776,-0.254625850346882,-0.283019480149171
"117","North America","Mexico","2021-05-19",0,66.444,0.779,17336.469,2387512,220850,-0.0331305430190039,-0.172444934847484,0.449849436000606,-0.155065414483776,0.476049835680247,3.34144365014801
"118","Oceania","Micronesia (country)","2021-05-19",0,150.777,0.62,3299.464,1,0,-0.718306167558786,-0.132734414238123,-0.237634056434883,-0.155065414483776,-0.255019937242294,-0.283298495845263
